"Date","Heure","Ordre(s) du jour"
"2025-04-29","15:00","Questions au Gouvernement      Éventuellement, discussion sur le rapport de la commission mixte paritaire, de la proposition de loi, adoptée par le Sénat, visant à sortir la France du piège du narcotrafic       Éventuellement, discussion sur le rapport de la commission mixte paritaire, de la proposition de loi organique, adoptée par le Sénat, fixant le statut du procureur de la République national anti-criminalité organisée        Débat sur le plan budgétaire et structurel à moyen terme      Débat sur le thème : \"Agences, opérateurs et organismes consultatifs d’État : quelle gouvernance, quelles priorités et quelles missions pour une action publique efficace et lisible ?\" (salle Lamartine)"
"2025-04-29","09:00","Questions orales sans débat "
"2025-04-11","09:00","Suite de la discussion de la proposition de loi, adoptée par le Sénat, relative à la réforme de l’audiovisuel public et à la souveraineté audiovisuelle"
"2025-04-10","09:00","Discussion du projet de loi, adopté par le Sénat, après engagement de la procédure accélérée, autorisant l’approbation de la résolution n° 259 portant modification de l’article 1er de l’accord portant création de la Banque européenne pour la reconstruction et le développement afin de permettre l’élargissement limité et progressif du champ d’action géographique de la Banque à l’Afrique subsaharienne et à l’Irak      Discussion du projet de loi autorisant l’approbation de l’accord-cadre entre le Gouvernement de la République française et les Nations unies portant sur les arrangements relatifs aux privilèges et immunités ainsi que d’autres questions afférentes aux réunions des Nations unies tenues sur le territoire français      Discussion du projet de loi, adopté par le Sénat, autorisant la ratification de la résolution LP.3(4) portant amendement de l’article 6 du Protocole de Londres de 1996 à la Convention de 1972 sur la prévention de la pollution des mers résultant de l’immersion de déchets et autres matières      Suite de la discussion du projet de loi, adopté par le Sénat, de simplification de la vie économique      Discussion de la proposition de loi, adoptée par le Sénat, relative à la réforme de l’audiovisuel public et à la souveraineté audiovisuelle"
"2025-03-27","15:00","Débat sur le thème : \"Dans un contexte d’évolution démographique, quels enjeux pour notre politique familiale ?\"      Débat sur le thème : \"Le devenir de la filière automobile en France et en Europe\" (salle Lamartine)"
"2025-03-28","09:00","Suite de la discussion de la proposition de loi, adoptée par le Sénat, visant à sortir la France du piège du narcotrafic      Suite de la discussion de la proposition de loi organique, adoptée par le Sénat, fixant le statut du procureur de la République national anti-criminalité organisée"
"2025-04-11","21:30","Suite de la discussion de la proposition de loi, adoptée par le Sénat, relative à la réforme de l’audiovisuel public et à la souveraineté audiovisuelle"
"2025-04-10","21:30","Suite de la discussion du projet de loi, adopté par le Sénat, après engagement de la procédure accélérée, autorisant l’approbation de la résolution n° 259 portant modification de l’article 1er de l’accord portant création de la Banque européenne pour la reconstruction et le développement afin de permettre l’élargissement limité et progressif du champ d’action géographique de la Banque à l’Afrique subsaharienne et à l’Irak      Suite de la discussion, sous réserve de son dépôt, projet de loi autorisant l’approbation de l’accord-cadre entre le Gouvernement de la République française et les Nations unies portant sur les arrangements relatifs aux privilèges et immunités ainsi que d’autres questions afférentes aux réunions des Nations unies tenues sur le territoire français      Suite de la discussion du projet de loi, adopté par le Sénat, autorisant la ratification de la résolution LP.3(4) portant amendement de l’article 6 du Protocole de Londres de 1996 à la Convention de 1972 sur la prévention de la pollution des mers résultant de l’immersion de déchets et autres matières      Suite de la discussion du projet de loi, adopté par le Sénat, de simplification de la vie économique      Suite de la discussion de la proposition de loi, adoptée par le Sénat, relative à la réforme de l’audiovisuel public et à la souveraineté audiovisuelle"
"2025-03-28","21:30","Suite de la discussion de la proposition de loi, adoptée par le Sénat, visant à sortir la France du piège du narcotrafic      Suite de la discussion de la proposition de loi organique, adoptée par le Sénat, fixant le statut du procureur de la République national anti-criminalité organisée"
"2025-04-11","15:00","Suite de la discussion du projet de loi, adopté par le Sénat, après engagement de la procédure accélérée, autorisant l’approbation de la résolution n° 259 portant modification de l’article 1er de l’accord portant création de la Banque européenne pour la reconstruction et le développement afin de permettre l’élargissement limité et progressif du champ d’action géographique de la Banque à l’Afrique subsaharienne et à l’Irak      Suite de la discussion, sous réserve de son dépôt, projet de loi autorisant l’approbation de l’accord-cadre entre le Gouvernement de la République française et les Nations unies portant sur les arrangements relatifs aux privilèges et immunités ainsi que d’autres questions afférentes aux réunions des Nations unies tenues sur le territoire français      Suite de la discussion du projet de loi, adopté par le Sénat, autorisant la ratification de la résolution LP.3(4) portant amendement de l’article 6 du Protocole de Londres de 1996 à la Convention de 1972 sur la prévention de la pollution des mers résultant de l’immersion de déchets et autres matières      Suite de la discussion du projet de loi, adopté par le Sénat, de simplification de la vie économique      Suite de la discussion de la proposition de loi, adoptée par le Sénat, relative à la réforme de l’audiovisuel public et à la souveraineté audiovisuelle"
