Pseudo;Contribution;Sujet;Consultation
"Pour une Assemblée plus inclusive";"Avant d'évoquer le sujet centrale qui me motive, je pense qu'il est important de développer un peu plus les raisons qui poussent à réduire le nombre de parlementaires; je salut néanmoins les 4 axes qui composent cette démarche. 

Il existe un nombre de citoyens qui, potentiellement, auraient souhaité participer aux réflexions de sujets qui régissent où regisseront leur vie. Le parlement tel qu'il fonctionne aujourd'hui n'a que très peu de marge de manoeuvre pour améliorer la participation citoyenne, un des leviers se trouve autour de l'innovation, plus précisément celle qui prône l'émancipation du numérique. Si je ne doute à aucun moment qu'une partie de nos concitoyens sauront s'emparer de ce genres d'outils, je n'oublie pas celles et ceux dont le réflexe ne sera probablement pas aussi prompt et naturel , je pense aux personnes âgées et à nos concitoyens des quartiers populaires. 

Il y a là de véritables sujets à évoquer avec nos talents ""start up-er et investisseurs, dans l'optique de développer un outils inclusif et efficace. En tant que citoyen, je me tiens à disposition pour participer aux échanges sur le sujet. 

Fraternellement. 

Samir Abdelouahed ";" Démocratie participative ";"Le statut des députés et leurs moyens de travail "
"Méchant Réac";"Le nombre de parlementaires en France est très élevé, comparé aux démocraties parlementaires des pays développés. La France s'appuie aujourd'hui sur 925 parlementaires, alors que les États-Unis en comptent 535 pour un pays presque 5 fois plus peuplé et l'Allemagne 700 pour 1,25 fois notre population... Près de nous, certains États (l'Italie, notamment) s'engagent dans des réformes majeures qui tendent à diminuer fortement le nombre de représentants nationaux. 

Depuis l'avènement de la Ve République, le nombre de représentants de la Nation a évolué, parfois en fonction de la démographie, parfois en fonction du mode de scrutin. Il convient, à ce titre, de rappeler que l'augmentation conséquente du nombre de députés liée au passage au scrutin proportionnel (+ 95 en 1986 en passant de 482 à 577) n'a pas été suivie d'une baisse lors du retour au scrutin majoritaire. 
La diminution du nombre de parlementaires serait un signal fort de la représentation nationale à un moment où la France doit mobiliser toutes ses forces pour se redresser. 
En prenant comme base qu'un député doit représenter en moyenne 100.000 électeurs inscrits. Il y a aujourd'hui, un peu plus de 47 millions d'électeurs inscrits sur les listes électorales, il conviendrait de réduire le nombre de députés qui passerait de 577 à 474.
";"Réduction du nombre des députés";"Le statut des députés et leurs moyens de travail "
Anonyme;"Le mandat des députés ne devrait durer que 3 ans.";"Durée d'un mandat de député";"Le statut des députés et leurs moyens de travail "
chris5934;"1 : réduire le nombre de représentants à 300/350.
2 : Supprimer les avantages liés aux retraites et avantages divers
3 : Augmenter l'indemnisation et donner des moyens matériels corrects
4 : limiter le nombre de réélections à 2 (3 mandats maximum)
5 : Obliger la présence lors des séances de travail et lors des votes
6 : Former les députés pour leur donner les connaissances suffisantes pour faire des lois correspondant à la réalité des Français
7 : Interdire le lobbying bilatéral, mais donner la possibilité aux acteurs économiques, associatifs...de faire connaitre leur position devant un groupe de travail
8 : Obliger les députés a vivre des situations de la vie réelle (vis ma vie 5 jours par an)
9 : supprimer le sénat

";"reforme de la représentation nationale ";"Le statut des députés et leurs moyens de travail "
"Grain à moudre";"Un(e) élu(e) peut dans la pratique s'enfermer dans un rôle restreint, soit se faire le porte-voix de lobbys,locaux, voire nationaux soit être peu actif. Ils/Elles sont encore trop nombreux à considérer leur mission comme un moyen de s'assurer un bon clientélisme territorial sous couvert d'un mandat de parlementaire.
Il m'apparaît qu'il aurait lieu d'exiger un vrai rapport de travail sur le terrain qui débouche sur une fine analyse et sur des propositions de la société civile travaillées en profondeur en vue de discussions ultérieures en commissions de travail à l'Assemblée sur saisines de leur part.  Pourraient y être associés des rapporteurs citoyens qui agiraient en qualité de personnes volontaires au nom de l'intérêt général. Candidatures à faire émerger pour une année parlementaire, non renouvelables, non rémunérées mais défrayées. 
";"Revitaliser la démocratie efficacement";"Le statut des députés et leurs moyens de travail "
Chris69;"Prenons exemple sur les pays développés et commençons par réduire de moitié le nombre des parlementaires. Mettons les au régime général des retraites. Fin de tous les régimes spéciaux !!!! Limitons le nombre de mandats successifs pour renouveler les idées .Diminuons leur rémunération d'au moins 10% pour montrer l'exemple (économie sur les fonds publics). Tout cela serait déjà un début. Mais je rêve, ils ne voteront jamais un programme pareil même si nôtre président leur demandait.......";"Réforme assemblée nationale et sénat";"Le statut des députés et leurs moyens de travail "
magat;"bjr moins de deputes cravatte bigatoire et stop aux amuseurs publics stop a la france insoumise, ces gens la sont ridicules Melenchon est un pur prodit du systeme senateur pendant 20 ans il a ete alaite par la republique qu'il foule aux ieds. dehors les faineants";"Le statut des députés et leurs moyens de travail "
limpromptu;"instituer un organisme participatif que j appelle suidep
s: sur
u; une
i; idee
d: de
e: elaborée
p: par
le peuple donne des idées sur tout et peut dans le meme temps se reunir en petit comité pour la mettre à réalisation
idée politique, d'inovation, etc
";"démocratie assemblée nationale";"Le statut des députés et leurs moyens de travail "
limpromptu;"je propose la democratie permanente
que les gens puissent être consultés en permanence par internet
pour pouvoir voter sur les lois et ordonnances
chacun ayant son droit de vote par internet
code de son immatriculation securite sociale
chacun ne votant qu'une fois
democratie directe permanente";"democratie permanente";"Le statut des députés et leurs moyens de travail "
Maryline;" Bonjour, 
Il me paraît nécessaire d'aligner la fiscalité  des élus  sur celle des autres citoyens . La totalité  des revenus doit être  soumise à  l'impôt sur le revenu  . Suppression du prélèvement  à  la source éventuel  et intégration aux autres revenus éventuels. Cotisations identiques y compris la CSG. Aucun avantage en nature.   Remboursement  des frais professionnels éventuels sur présentation d'un justificatif  quel que soit le montant. Suppression du régime spécial de retraite . Limite d'âge identique aux autres citoyens! 
Utiliser internet chaque fois que cela est possible pour limiter les coûts grâce  notamment aux vidéo conférences, télétransmission, etc....Instaurer 1 règlement permettant de s'exprimer sans perte de temps  et débordements d'horaires intempestifs. Ponctualité  et présence  obligatoire.
";"Fiscalité des élus ";"Le statut des députés et leurs moyens de travail "
"Frederic Carteron";"Chers amis, chères amies,

J'ai exercé les fonctions de conseiller législatif et de magistrat en France à l'occasion desquelles j'ai pu observer les limites du pouvoir d'enquête des commissions parlementaires. Ayant observé le système politique américain au cours de mes huit années passées aux USA, je suis partisan de  confier à l'Assemblée ainsi qu'au Sénat français un pouvoir d'investigation similaire à celui que détient le Sénat américain. 

Aussi, je propose que les commissions d'enquêtes parlementaires propres à chaque assemblée ou mixtes puissent contraindre des responsables gouvernementaux, des responsables d'entreprises, des membres du gouvernement et tout autre ""témoin"" ou experts à comparaître devant elles, si besoin en recourant à la force publique. Le défaut de comparution ou le refus de coopération constituerait un délit passible de peine d'amende et de prison. 

Ces commissions d'enquête devraient également avoir le pouvoir de se déplacer et de saisir des documents. Le refus de produire les documents ou toute action visant à faire obstacle à la remise des documents sollicités (destruction de courriels ou de documents, dissimulation de documents) constitueraient le délit d'entrave à une enquête parlementaire, infraction passible d'une peine d'amende, de prison et d'interdiction d'exercer des mandats électifs.

Toute personne ayant menti ou dissimulé des informations à l'occasion de ces enquêtes parlementaires ferait l'objet de poursuite pour outrage et/ou parjure, délits qui seraient punis de peine d'amende et d'emprisonnement, ainsi que l'interdiction de voter et d'exercer des mandats politiques et professionnels. 

Enfin, les personnes ayant volontairement participé à ces commissions ou ayant en toute honnêteté exprimé des vérités ou des faits « dérangeant » devraient bénéficier d'une protection à l'encontre de représailles professionnelles, comme cela a été le cas pour le général de gendarmerie Bertrand Soubelet, lequel a été sanctionné par le gouvernement Valls pour ne pas avoir dissimulé la vérité sur la situation de l'insécurité et le dysfonctionnement de la justice lors d'une commission d'enquête à l'Assemblée nationale. 

Un juge pourrait être associé à ces mesures d'investigation afin de garantir le respect des droits et libertés individuelles et encadrer le recours à la force public. Cela constituerait une garantie supplémentaire contre des enquêtes parlementaires motivées par des objectifs purement politiques.

En espérant que ces propos pourront enrichir le débat visant à renforcer le fonctionnement démocratique de nos institutions.

Cordialement,

Frédéric Carteron

";"Doter l'Assemblée nationale du pouvoir d'enquêter";"Le statut des députés et leurs moyens de travail "
"Frédéric Carteron";"Chers amis, chères amies,

J'ai exercé les fonctions de conseiller législatif et de magistrat en France à l'occasion desquelles j'ai pu observer les limites du pouvoir d'enquête des commissions parlementaires. Ayant observé le système politique américain au cours de mes huit années passées aux USA, je suis partisan de  confier à l'Assemblée ainsi qu'au Sénat français un pouvoir d'investigation similaire à celui que détient le Sénat américain. 

Aussi, je propose que les commissions d'enquêtes parlementaires propres à chaque assemblée ou mixtes puissent contraindre des responsables gouvernementaux, des responsables d'entreprises, des membres du gouvernement et tout autre ""témoin"" ou experts à comparaître devant elles, si besoin en recourant à la force publique. Le défaut de comparution ou le refus de coopération constituerait un délit passible de peine d'amende et de prison. 

Ces commissions d'enquête devraient également avoir le pouvoir de se déplacer et de saisir des documents. Le refus de produire les documents ou toute action visant à faire obstacle à la remise des documents sollicités (destruction de courriels ou de documents, dissimulation de documents) constitueraient le délit d'entrave à une enquête parlementaire, infraction passible d'une peine d'amende, de prison et d'interdiction d'exercer des mandats électifs.

Toute personne ayant menti ou dissimulé des informations à l'occasion de ces enquêtes parlementaires ferait l'objet de poursuite pour outrage et/ou parjure, délits qui seraient punis de peine d'amende et d'emprisonnement, ainsi que l'interdiction de voter et d'exercer des mandats politiques et professionnels. 

Enfin, les personnes ayant volontairement participé à ces commissions ou ayant en toute honnêteté exprimé des vérités ou des faits « dérangeant » devraient bénéficier d'une protection à l'encontre de représailles professionnelles, comme cela a été le cas pour le général de gendarmerie Bertrand Soubelet, lequel a été sanctionné par le gouvernement Valls pour ne pas avoir dissimulé la vérité sur la situation de l'insécurité et le dysfonctionnement de la justice lors d'une commission d'enquête à l'Assemblée nationale. 

Un juge pourrait être associé à ces mesures d'investigation afin de garantir le respect des droits et libertés individuelles et encadrer le recours à la force public. Cela constituerait une garantie supplémentaire contre des enquêtes parlementaires motivées par des objectifs purement politiques.

En espérant que ces propos pourront enrichir le débat visant à renforcer le fonctionnement démocratique de nos institutions.

Cordialement,

Frédéric Carteron
";"Donner un véritable pouvoir d'enquête ";"Le statut des députés et leurs moyens de travail "
JDLOR;"Lorsqu'un député est mis en examen, il devrait être démis de ses fonctions et être automatiquement remplacé par son suppléant. Il est inadmissible qu'actuellement des députés mis en examen puissent encore siéger à l'Assemblée.
Comme le Président de la République l'a indiqué dans son programme, il est nécessaire de diminuer d'au moins 1/3 le nombre de députés.
Il faudrait revoir le mode de calcul de retraite des députés qui devraient être soumis au régime général des retraites.
";"Statut des députés";"Le statut des députés et leurs moyens de travail "
"Sans pseudo";"Il serait souhaitable, lorsqu'un parlementaire a besoin d'un assistant parlementaire, qu'il le rémunère lui même sur ses indémnités.
";"Assistants parlementaires";"Le statut des députés et leurs moyens de travail "
Anmagjo;"Je crois nécessaire de baisser le nombre de députés et de limiter le nombre de fois où ils peuvent se représenter 
Le savant âgés pour leur retraite sont exorbitants 
Il faudrait que ce soit plus raisonnable Maé me s il ne faut pas que ce soit trop bas pour d courage les bonnes volontés 
Je suis contre la proportionnelle ";"Nombre de députés ";"Le statut des députés et leurs moyens de travail "
olifan;"Lors de la modification du nombre de députés il serait bien de ne pas seulement tenir compte du nombre d'habitants dans les circonscriptions. La situation du territoire, superficie, distance et difficulté d'accès à la permanence du député doivent aussi être pris en compte. Sinon, par exemple, la Lozère, l'Ariège ou le Lot n'auraient aucun député et l'Aveyron qu'un seul.  A l'inverse, Paris aurait environ 25% des députés de l'Assemblée. Donc ce travail de modification ne doit pas être laissé entre les mains des technocrates mais effectué par des personnes compétentes qui connaissent la France et ses territoires. A moins que l'on ne parle plus de « représentation nationale »...";"Véritable représentation nationale";"Le statut des députés et leurs moyens de travail "
Balawou;"Il serait utile de pouvoir retrouver 
- sur le site de l'assemblée le texte de l'ensemble des interventions de chaque députés (moteur de recherche permettant de retrouver toutes les interventions d'un député par typologie/domaine de texte législatif et par texte de même que toutes les interventions des groupes de députés par thème).
- Sur le site de chaque député un compte rendu bi mensuel (ou autre périodicité pertinente) de ses activités législatives. Tant le travail effectué en commission que lors des débats et votes.
Cela permettrait de savoir précisément ce que fait un député ainsi que le groupe auquel il appartient. Cette obligation de rendre compte généralisée pourrait participer au rétablissement de la reconnaissance de l'utilité des parlementaires ainsi qu'à la nécessaire relation de confiance entre le citoyen et ses représentants. Pour qu'il y ait confiance il faut qu'il y ait contrôle et possibilité d'interroger, de critiquer, de challenger les travaux et décisions des parlementaires que nous avons élu.";Transparence;"Le statut des députés et leurs moyens de travail "
Iacobus;"Bonjour,
je souhaite que le nombre de député ne dépasse Pas le nombre de département et que dans chaque département nous puissions consulter le véritable travail. Ou bien décider le nombre de député par nombre d'habitant inscrit surles listeselectorales:  100 mille = 1 seul et faire des tranches par nombre d'électeur. Merci
Et obliger chaque electeur inscrit à voter et que le vote blanc soit pris en compte.";"nombre de député";"Le statut des députés et leurs moyens de travail "
CHAPSENMARCHE;"Afin d'améliorer l'efficacité de chaque député sans en augmenter le coût, je pense qu'il faut diviser par deux ou trois le nombre de députés; mettre fin à leur régime particulier de retraite et limiter à deux consécutifs le nombre de mandats.";"Nombre de députés";"Le statut des députés et leurs moyens de travail "
"Capri 100";"durée du mandat de député: 4 ans renouvenable 1 seule fois
Nombre de députés 400
Nombre de sénateurs:100";"Mandat de député, nb de députés et de sénateurs ";"Le statut des députés et leurs moyens de travail "
pierrot50;"Bonsoir, 
Que les citoyens soient consultés par référendum, comme  et même plus qu'en Suisse, pour toute question importante. La démocratie, c'est le pouvoir du peuple !
";Référendum;"Le statut des députés et leurs moyens de travail "
juju88;"il faudrait 
président AN  groupe majoritaire
1er vice président  Allié de la majorité ou groupe majoritaire
2eme vice président  groupe majoritaire

apres autant de Vice président que de groupe d'oposistion


pour habiliter le gourvernement a signer des ordonance faudrait avoir acceptation de AN mais confirmer ou refuter par un referundum



";"vice présidence";"Le statut des députés et leurs moyens de travail "
