"Type de commission","Date","Heure","À l'initiative de","Ordre(s) du jour"
"GA","2025-03-26","15:00","France-République d'Autriche",""
"GA","2025-04-02","08:30","France-Pakistan",""
"CNPS","2025-03-24","21:30","Commission spéciale chargée d’examiner le projet de loi de simplification de la vie économique","suite de l'examen des articles du projet de loi de simplification de la vie économique (n° 481 rect.) (M. Christophe Naegelen et M. Stéphane Travert, rapporteurs)."
"COMPER","2025-03-26","21:00","Commission des lois constitutionnelles, de la législation et de l'administration générale de la République","Suite de l'ordre du jour de l’après-midi."
"CNPS","2025-03-27","09:00","Commission spéciale chargée d’examiner le projet de loi de simplification de la vie économique","suite de l'examen des articles du projet de loi de simplification de la vie économique (n° 481 rect.) (M. Christophe Naegelen et M. Stéphane Travert, rapporteurs)."
"GA","2025-04-01","14:00","France-Vanuatu",""
"MISINFO","2025-03-24","17:30","Mission d'information sur la santé mentale des mineurs","audition, non ouverte à la presse, du Professeur Guillaume Bronsard du Service Hospitalo-Universitaire de Psychiatrie de l'Enfant et de l'Adolescent à la faculté de médecine et des sciences de la santé de Brest, UBO"
"CNPE","2025-03-27","15:30","Commission d’enquête visant à établir les freins à la réindustrialisation de la France","table ronde, ouverte à la presse, sur l’intelligence économique, réunissant :M. Bernard Carayon, maire de Lavaur, ancien député, auteur de rapports au Premier ministre sur l’intelligence économique ;M. Alain Juillet, ancien directeur du renseignement au sein de la direction générale de la Sécurité extérieure (DGSE), ancien haut responsable chargé de l'intelligence économique ;M. Christian Harbulot, directeur de l’école de Guerre économique ;M. Frédéric Pierucci, ancien directeur des ventes et du marketing mondial chaudières d’Alstom, fondateur et président du cabinet Ikarian."
"MISINFO","2025-03-25","18:45","Mission d'information sur les congés parentaux","direction de la recherche, des études, de l'évaluation et des statistiques (Drees) – M. Fabrice Lenglart, directeur et M. Bertrand Lhommeau, chef du bureau « Jeunesse, Famille »."
"COMNL","2025-03-26","16:30","Commission des affaires européennes","audition de M. Benjamin Haddad, ministre délégué chargé de l’Europe, sur les résultats du Conseil européen des 20 et 21 mars 2025."
"GA","2025-03-26","15:15","France-Tunisie",""
"CNPS","2025-03-25","17:00","Commission spéciale chargée d’examiner le projet de loi de simplification de la vie économique","suite de l'examen des articles du projet de loi de simplification de la vie économique (n° 481 rect.) (M. Christophe Naegelen et M. Stéphane Travert, rapporteurs)."
"CNPS","2025-03-26","15:00","Commission spéciale chargée d’examiner le projet de loi de simplification de la vie économique","suite de l'examen des articles du projet de loi de simplification de la vie économique (n° 481 rect.) (M. Christophe Naegelen et M. Stéphane Travert, rapporteurs)."
"CNPS","2025-03-27","21:30","Commission spéciale chargée d’examiner le projet de loi de simplification de la vie économique","suite de l'examen des articles du projet de loi de simplification de la vie économique (n° 481 rect.) (M. Christophe Naegelen et M. Stéphane Travert, rapporteurs)."
"MISINFO","2025-03-31","17:30","Mission d'information sur la santé mentale des mineurs","audition, non ouverte à la presse, des infirmières scolaires et de Mme Gwenaelle Durand, Secrétaire générale du Syndicat National des Infirmiers et Infirmières Éducateurs en Santé (SNIES)"
"MISINFO","2025-03-26","16:00","Mission d'information sur les congés parentaux","- audition conjointe.- direction générale de la cohésion sociale (DGCS) – (en attente de la composition de la délégation).- direction générale du travail (DGT) – MM. Sacha Reingewitz, adjoint à la sous-directrice des relations du travail et Théo Albarraccin, chef de bureau des relations individuelles du travail."
"MISFLASH","2025-03-24","13:30","Mission d'information flash sur la valorisation des algues en réponse à leur prolifération","Audition conjointeSociété RenouvoM. Chris Huang, fondateur M. Cyril Frayon, représentant en EuropeM. Christophe Lai, consultantSociété Seaweed conceptM. Sébastien Balusson, président-fondateur"
"MISINFO","2025-03-25","17:45","Mission d’information sur les conditions d’accueil et d’encadrement des séjours de cohésion du service national universel (SNU)","Audition commune :- Délégation régionale académique à la jeunesse, à l'engagement et aux sports (DRAJES) – M. Rodolphe Legendre, délégué régional académique et chef du service départemental du Loiret- Conférence des IA-Dasen – en attente délégation"
"GA","2025-04-01","17:00","France-Australie",""
"CNPS","2025-03-28","15:00","Commission spéciale chargée d’examiner le projet de loi de simplification de la vie économique","éventuellement, suite de l'examen des articles du projet de loi de simplification de la vie économique (n° 481 rect.) (M. Christophe Naegelen et M. Stéphane Travert, rapporteurs)."
"GA","2025-03-25","12:00","France-Australie",""
"MISINFO","2025-03-26","17:45","Mission d'information sur les congés parentaux","direction de la sécurité sociale (DSS) – Mme Marion Muscat, sous-directrice de l’accès aux soins, des prestations familiales et des accidents du travail."
"COMPER","2025-03-25","16:30","Commission des affaires culturelles et de l'éducation","dans le cadre de l’enquête sur les modalités du contrôle par l’État et de la prévention des violences dans les établissements scolaires (article 5 ter de l’ordonnance n° 58 1100 du 17 novembre 1958), audition de Mme Anne Morvan-Paris, directrice générale de France enfance protégée."
"CNPE","2025-03-26","15:00","Commission d’enquête sur les défaillances des pouvoirs publics face à la multiplication des plans de licenciements","– audition de M. Michel Houdebine, directeur de l’animation de la recherche, des études et des statistiques (Dares) au ministère chargé du travail (sous réserve de confirmation)."
"CNPE","2025-03-24","16:00","Commission d’enquête relative aux violences commises dans les secteurs du cinéma, de l’audiovisuel, du spectacle vivant, de la mode et de la publicité","à 16 heures : audition, ouverte à la presse, de Mme Béatrice Cattelain, M. Pierre Colliou et M. Damien Poirot, représentants du Collectif « La Voix des Parents de la Maitrise des Hauts-de-Seine ».à 17 heures : audition, ouverte à la presse, de Mme Agathe Pujol, comédienne."
"COMPER","2025-03-26","15:30","Commission des affaires économiques","éventuellement, suite de l’examen de la proposition de loi visant à assurer le développement raisonné et juste de l’agrivoltaisme (n° 962) (M. Pascal Lecamp, rapporteur) ;éventuellement, suite de l’examen de la proposition de loi portant fin du maintien à vie dans le logement social (n° 905) (M. Stéphane Vojetta, rapporteur)."
"MISEVAL","2025-03-27","14:00","Mission d’évaluation de la loi n° 2005-102 du 11 février 2005 pour l’égalité des droits et des chances, la participation et la citoyenneté des personnes handicapées","départements de France – M. Marc Fleuret, président du groupe de travail « autonomie et handicap » et président du département de l’Indre, Mme Silva Sahakian, conseillère handicap, et M. Brice Lacourieux, conseiller relations avec le Parlement."
"COMPER","2025-03-26","09:00","Commission des lois constitutionnelles, de la législation et de l'administration générale de la République","audition de M. Vincent Mazauric, dont la nomination en tant que président de la Commission nationale de contrôle des techniques de renseignement (CNCTR) est proposée par le Président de la République, et vote sur cette proposition de nomination dans les conditions prévues par l’article 29-1 du Règlement (Mme Sophie Ricourt Vaginay, rapporteure) ;examen de la proposition de loi visant à modifier la définition pénale du viol et des agressions sexuelles (n° 842) (Mme Marie-Charlotte Garin, Mme Véronique Riotton, co-rapporteures) ;examen de la proposition de loi visant à faire exécuter les peines d'emprisonnement ferme (n° 374) (M. Loïc Kervran , rapporteur) ;examen de la proposition de loi pour réformer l’accueil des gens du voyage (n° 906) (M. Xavier Albertini, rapporteur) ;examen de la proposition de loi visant à restaurer l’autorité de l’État (n° 959) (Mme Naïma Moutchou, rapporteure)."
"COMPER","2025-03-26","15:00","Commission des affaires culturelles et de l'éducation","dans le cadre de l’enquête sur les modalités du contrôle par l’État et de la prévention des violences dans les établissements scolaires (article 5 ter de l’ordonnance n° 58 1100 du 17 novembre 1958), table ronde réunissant des représentants d’associations de défense des enfants victimes de violences : Mme Isabelle Debré, présidente de l’association L’Enfant Bleu enfance maltraitée, Mme Nathalie Cougny, fondatrice et directrice générale de l’association Les maltraitances moi j’en parle !, et M. Arnaud Gallais, président de l’association Mouv’enfants."
"CNPE","2025-03-26","17:30","Commission d’enquête sur les défaillances des pouvoirs publics face à la multiplication des plans de licenciements","– audition des auteurs de deux rapports produits avec le soutien de l’Institut de recherches économiques et sociales (Ires) (sous réserve de confirmation) :- La négociation des plans de sauvegarde de l’emploi, quels arbitrages ? (septembre 2020) ;- Un capitalisme sous perfusion (mai 2022)."
"MISGRTR","2025-03-26","15:00","Groupe de travail chargé du suivi de la préparation des Jeux olympiques et paralympiques d'hiver 2030","audition de M. Pierre-Antoine Molina, délégué interministériel aux Jeux Olympiques et Paralympiques d’hiver 2030 (Dijop)"
"MISFLASH","2025-03-25","15:00","Mission flash sur les satellites : applications militaires et stratégies industrielles","audition de M. Michel Friedling, général de division aérienne, président de LookUpSpace et de M. Alban de Crémiers, directeur général."
"MISINFO","2025-03-25","15:00","Mission d'information sur l'état des cours d'eau","Audition « Ports »– Ports de FranceM. Antoine Berbain, directeur général délégué de la direction territoriale de Paris d’Haropa port– Association française des ports intérieurs (Afpi)Mme Claire Merlin, directrice générale "
"MISINFO","2025-04-02","15:00","Mission d'information Politiques d'accompagnement à la parentalité","- table ronde, non ouverte à la presse, sur les enjeux de la maternité avec la présence de Mme Julie Foubert, fondatrice de Be the change – évoluer vers une parentalité plus éclairée, Mme Elise Marcende, président de l’association Maman Blues et Mme Clémentine Sarlat, journaliste et créatrice du podcast « La Matrescence »."
"MISEVAL","2025-03-27","10:30","Mission d’évaluation de la loi n° 2005-102 du 11 février 2005 pour l’égalité des droits et des chances, la participation et la citoyenneté des personnes handicapées","table ronde :- mouvement des entreprises de France (Medef) – Mme France Henry-Labordere, directrice générale adjointe, responsable du pôle social, MM. Pierre-Matthieu Jourdan, directeur des relations sociales et de la politique de l'emploi, et Adrien Chouguiat, directeur adjoint du Pôle affaires publiques ;- confédération des petites et moyennes entreprises (CPME) – sous réserve de confirmation."
"COMPER","2025-03-26","10:30","Commission de la défense nationale et des forces armées","audition, ouverte à la presse, de Mme Eva Berneke, directrice générale d’Eutelsat sur l’Europe de la défense et les coopérations européennes. "
"GRTR","2025-04-29","09:15","Groupe de travail sur le développement durable","audition de M. Arthur Delaporte, président de l’AGRAN."
"GA","2025-04-01","17:00","France-Djibouti",""
"GA","2025-04-02","15:00","France-Afrique australe",""
"GA","2025-03-27","10:00","France-Mozambique",""
"MISINFO","2025-04-03","10:30","Mission d'information Politiques d'accompagnement à la parentalité","audition, non ouverte à la presse, de Mme Sophie Brescia, membre de La Collective des mères isolées, M. Selim Derkaoui, journaliste et auteur du livre « Laisse pas traîner ton fils : comment l’État criminalise les mères seules » et Mme Johanna Luyssen,  journaliste et auteure du livre « Mères solo : le combat invisible ».  "
"COMPER","2025-03-26","18:00","Commission des affaires culturelles et de l'éducation","dans le cadre de l’enquête sur les modalités du contrôle par l’État et de la prévention des violences dans les établissements scolaires (article 5 ter de l’ordonnance n° 58 1100 du 17 novembre 1958), audition de Mme Françoise Gullung, professeure ayant signalé des faits de violences à Notre-Dame de Bétharram."
"COMNL","2025-03-25","16:30","Commission des affaires européennes","audition, conjointe avec la commission de la défense nationale et des forces armées, de M. Andrius Kubilius, commissaire européen à la défense et à l'espace."
"MISINFO","2025-04-02","16:30","Mission d'information Politiques d'accompagnement à la parentalité","table ronde, non ouverte à la presse, sur les enjeux de la paternité en présence de MM. Stéphane Jourdain et Guillaume Daudin, journalistes et co-auteurs de l’Arnaque des nouveaux pères : enquête sur une révolution manquée », M. Fabrice Florent, ancien directeur de MadmoiZelle, et créateur de podcast dont « Histoire de darons » et M. Cédric Rostein, animateur du podcast « Papatriarcat »."
"MISFLASH","2025-03-25","14:00","Mission flash sur la sensibilisation de la jeunesse à l'esprit de défense (journée défense et citoyenneté, journée défense et mémoires nationales... )","audition de M. le général de brigade Arnaud Goujon, sous-directeur du pôle recrutement - Ministère des Armées et des Anciens combattants."
"MISEVAL","2025-03-27","10:30","Mission d'évaluation et de contrôle des lois de financement de la sécurité sociale","évaluation structurante « La répartition des dépenses entre l’assurance maladie obligatoire et l’assurance maladie complémentaire » (Mme Joëlle Mélin, M. Thibault Bazin et M. Jérôme Guedj, rapporteurs) : à 10 heures 30 : audition de Mme Florence Lustman, présidente de France Assureurs, Mme Cécile Malguid, directrice adjointe des assurances de personne, et Mme Marie-Anne Ballotaud, directrice de cabinet  ;à 11 heures 15 : audition de M. Thomas Fatôme, directeur général de la Caisse nationale de l’assurance maladie (Cnam), M. Grégoire de Lagasnerie, adjoint du directeur de la stratégie, des études et des statistiques, et Mme Véronika Levendof, chargée des relations avec le Parlement."
"MISEVAL","2025-03-26","16:30","Mission d’évaluation du contrôle des investissements étrangers en France","audition conjointe de M. Olivier Marleix, député, et de M. Guillaume Kasbarian, député et ancien ministre."
"COMPER","2025-03-26","16:30","Commission des finances, de l'économie générale et du contrôle budgétaire","présentation d’une contribution de M. Charles de Courson, rapporteur général, sur l’évaluation des recettes fiscales en 2023, 2024 et 2025 (article 5 ter de l’ordonnance n° 58-1100 du 17 novembre 1958)."
"API","2025-04-04","00:00","Délégation française à l'Assemblée parlementaire de l'OTAN","Participation de Mme Natalia Pouzyreff, vice-présidente de la délégation française à la réunion de la commission permanente de l’AP OTAN du 4 au 6 avril 2025."
"GA","2025-04-09","12:30","France-Italie",""
"CNPE","2025-03-25","14:00","Commission d’enquête sur les effets psychologiques de TikTok sur les mineurs","nomination du Bureau ;désignation du rapporteur ;échange de vues sur l’organisation des travaux de la commission d’enquête."
"CNPE","2025-03-26","11:30","Commission d’enquête visant à établir les freins à la réindustrialisation de la France","audition, ouverte à la presse, de Mme Agnès Bénassy-Quéré, seconde sous-gouverneure à la Banque de France, professeure d’économie."
"GA","2025-04-02","16:00","France-Argentine",""
"GA","2025-04-08","17:00","France-Jamaïque",""
"GA","2025-03-27","12:30","France-Bénin",""
"CNPE","2025-04-01","13:30","Commission d’enquête sur les manquements des politiques publiques de protection de l’enfance","examen du rapport suivi d’un vote, à huis clos."
"COMPER","2025-03-25","17:30","Commission des affaires sociales","table ronde sur les propositions de loi relative aux soins palliatifs et d’accompagnement (n° 1102) et relative à la fin de vie (n° 1100) :Comité consultatif d’éthique : M. Alain Claeys et Pr Régis Aubry, corapporteurs de l’avis 139 « Questions éthiques relatives aux situations de fin de vie : autonomie et solidarité » (2022).Conseil économique, social et environnemental : M. Albert Ritzenthaler, président de la commission temporaire sur la fin de vie, et Mme Dominique Joseph, rapporteure de l’avis « Fin de vie : faire évoluer la loi ? »Centre national des soins palliatifs et de la fin de vie : Dr Sarah Dauchy, présidente, et Mme Giovanna Marsico, directrice."
"CNPE","2025-03-27","10:30","Commission d’enquête visant à établir les freins à la réindustrialisation de la France","table ronde, ouverte à la presse, des organisations syndicales représentatives."
"GA","2025-03-26","15:00","France-Irak",""
"COMPER","2025-03-25","16:30","Commission de la défense nationale et des forces armées","audition, ouverte à la presse et conjointe avec la commission des affaires européennes, de M. Andrius Kubilius, commissaire européen à la Défense et à l’Espace (actualisation de la Revue nationale stratégique 2022 et cycle Europe de la défense)."
"COMPER","2025-03-26","09:30","Commission des finances, de l'économie générale et du contrôle budgétaire","audition, en application de l’article 13 de la Constitution, de Mme Florence Peybernes dont la nomination au poste de présidente de la Haute autorité de l’audit a été proposée par le Président de la République puis vote sur cette proposition de nomination (M. Matthias Renault, rapporteur)."
"MISFLASH","2025-03-26","17:30","Mission flash sur l'artillerie à l'aune du nouveau contexte stratégique","audition de Mme Martine Poirmeur, déléguée générale adjointe et de Mme Léa Benassem-Durieux, directrice des Affaires Publiques – France & Europe du Groupement des industries françaises de défense et de sécurité terrestres et aéroterrestres."
"MISFLASH","2025-03-26","16:00","Mission flash sur l'artillerie à l'aune du nouveau contexte stratégique","audition de M. Patrick Gaillard, président de l'entreprise Turgis et Gaillard."
"CNPS","2025-03-24","15:00","Commission spéciale chargée d’examiner le projet de loi de simplification de la vie économique","examen des articles du projet de loi de simplification de la vie économique (n° 481 rect.) (M. Christophe Naegelen et M. Stéphane Travert, rapporteurs)."
"COMPER","2025-03-26","14:30","Commission des lois constitutionnelles, de la législation et de l'administration générale de la République","suite de l'ordre du jour du matin."
"CNPS","2025-03-26","21:30","Commission spéciale chargée d’examiner le projet de loi de simplification de la vie économique","suite de l'examen des articles du projet de loi de simplification de la vie économique (n° 481 rect.) (M. Christophe Naegelen et M. Stéphane Travert, rapporteurs)."
"MISINFO","2025-04-29","16:30","Mission d'information Politiques d'accompagnement à la parentalité","audition, non ouverte à la presse, de Mme Bérangère Couillard, présidente du Haut conseil à l’égalité. "
"MISINFO","2025-03-24","16:00","Mission d'information sur la santé mentale des mineurs","Audition, non ouverte à la presse, Mme Alima Marie-Malikité, M. François Beck, M. Michel Vernay et Mme Agathe Horeau de Santé publique."
"COMPER","2025-03-26","16:30","Commission de la défense nationale et des forces armées","audition, ouverte à la presse, de Mme Clara Chappaz, ministre déléguée auprès du ministre de l’économie, des finances et de la souveraineté industrielle et numérique, chargée de l’intelligence artificielle et du numérique, sur l’actualisation de la revue nationale stratégique (RNS) de 2022 : les enjeux du cyber et de l’intelligence artificielle."
"GA","2025-03-25","18:00","France-Afrique du Sud",""
"GA","2025-04-02","08:30","France-Australie",""
"GA","2025-03-25","13:30","France-Islande",""
"CNPS","2025-03-25","21:30","Commission spéciale chargée d’examiner le projet de loi de simplification de la vie économique","suite de l'examen des articles du projet de loi de simplification de la vie économique (n° 481 rect.) (M. Christophe Naegelen et M. Stéphane Travert, rapporteurs)."
"CNPS","2025-03-27","15:00","Commission spéciale chargée d’examiner le projet de loi de simplification de la vie économique","suite de l'examen des articles du projet de loi de simplification de la vie économique (n° 481 rect.) (M. Christophe Naegelen et M. Stéphane Travert, rapporteurs)."
"GA","2025-03-25","14:00","France-Moldavie",""
"MISINFO","2025-03-31","16:00","Mission d'information sur la santé mentale des mineurs","audition, non ouverte à la presse, de médecins scolaires, de Mme Patricia Colson, médecin de l’Éducation nationale, Secrétaire générale du Syndicat national autonome des médecins de santé publique de l'Éducation nationale (SNAMSPEN) et de Mme Jocelyne Grousset, co-secrétaire générale du Syndicat national des médecins scolaires et universitaires (SNMSU)"
"CNPE","2025-03-27","17:30","Commission d’enquête visant à établir les freins à la réindustrialisation de la France","table ronde, ouverte à la presse, des acteurs publics en charge de la sécurité économique :Mme Agnès Romatet-Espagne, directrice des affaires internationales, stratégiques et technologiques au sein du secrétariat général de la défense et de la sécurité nationale ;Mme Sabine Lemoyne de Forges, sous-directrice de la politique commerciale et de l’investissement au sein de la direction générale du Trésor ;M. Thomas Ernoult, chef du bureau du contrôle des investissements étrangers en France au sein de la direction générale du Trésor ;M. Joffrey Celestin-Urbain, chef du service de l’information stratégique et de la sécurité économiques au sein de la direction générale des entreprises."
"GA","2025-03-26","15:00","France-Egypte",""
"MISINFO","2025-03-26","15:00","Mission d'information sur les congés parentaux","union nationale des associations familiales (UNAF) – M. Bernard Tranchand, vice-président, Mmes Guillemette Leneveu, directrice générale et Claire Ménard, chargée des relations parlementaires."
"MISINFO","2025-03-25","16:30","Mission d’information sur les conditions d’accueil et d’encadrement des séjours de cohésion du service national universel (SNU)","TR Syndicats enseignants du second degré :- SNALC – M. Jean-Rémi Girard, président- SNES-FSU – Mmes Claire Guéville et Clarisse Macé, secrétaires nationales - CGT Éduc'action – en attente délégation- SUD Education – Mmes Berengère Basset, mandatée Solidaires, et Nara Cladera, co secrétaire fédérale"
"CNPS","2025-03-28","09:00","Commission spéciale chargée d’examiner le projet de loi de simplification de la vie économique","éventuellement, suite de l'examen des articles du projet de loi de simplification de la vie économique (n° 481 rect.) (M. Christophe Naegelen et M. Stéphane Travert, rapporteurs)."
"DELEG","2025-03-25","16:30","Délégation aux outre-mer","audition de M. Manuel Valls, ancien premier ministre, ministre d’État, ministre des outre-mer ;questions diverses."
"COMPER","2025-03-25","16:30","Commission du développement durable et de l'aménagement du territoire","audition, conjointe avec la commission des affaires économiques, de M. Benoit Vallet, directeur général de l’Agence nationale de sécurité sanitaire de l’alimentation, de l’environnement et du travail (Anses) sur la situation de l’Agence et son action."
"GA","2025-03-26","16:00","France-Côte d'Ivoire",""
"MISINFO","2025-03-25","16:30","Mission d'information sur les congés parentaux","- table ronde de chercheurs.- mme Ariane Pailhé, directrice de recherche à l’Institut national d’études démographiques (Ined).- mme Alix Sponton, docteure en sociologie, chercheuse au centre de recherches sociologiques et politiques de Paris (Cresppa).- mme Marie-Clémence Le Pape, maîtresse de conférences à l’université Lyon 2."
"MISINFO","2025-03-26","17:00","Mission d'information sur les congés parentaux","- organisation de coopération et de développement économiques (OCDE) – Département du travail et des affaires sociales – MM. Stefano Scarpetta, directeur, Willem Adema, économiste et Alexandre Lloyd, analyste politique."
"COMPER","2025-03-26","09:30","Commission des affaires étrangères","- examen, ouvert à la presse, et vote sur les projets de loi suivants :- projet de loi autorisant l’approbation de l’accord-cadre entre le Gouvernement de la République française et les Nations unies portant sur les arrangements relatifs aux privilèges et immunités ainsi que d’autres questions afférentes aux réunions des Nations unies tenues sur le territoire français (n° 1154) (Mme Maud Petit, rapporteure) ;- projet de loi, adopté par le Sénat, autorisant la ratification de la résolution LP.3(4) portant amendement de l’article 6 du protocole de Londres de 1996 à la convention de 1972 sur la prévention de la pollution des mers résultant de l’immersion de déchets et autres matières (n° 942) (M. Xavier Lacombe, rapporteur) ;- projet de loi autorisant l’approbation de la résolution n° 259 portant modification de l’article 1er de l’accord portant création de la Banque européenne pour la reconstruction et le développement afin de permettre l’élargissement limité et progressif du champ d’action géographique de la Banque à l’Afrique subsaharienne et à l’Irak (n° 1110) (M. Vincent Ledoux, rapporteur).								– nomination de rapporteurs sur les projets de loi suivants :- projet de loi, adopté par le Sénat, autorisant l’approbation de l’accord portant création du Centre de développement des capacités cyber dans les Balkans occidentaux (C3BO) (n° 944) ;- projet de loi autorisant l’approbation de la convention d’entraide judiciaire en matière pénale entre le Gouvernement de la République française et le Gouvernement de la République du Panama et de la convention d’extradition entre le Gouvernement de la République française et le Gouvernement de la République du Panama (n° 1028)."
"CMP","2025-03-31","18:45","Commission mixte paritaire chargée de proposer un texte sur les dispositions restant en discussion du projet de loi portant diverses dispositions d’adaptation au droit de l’Union européenne en matière économique, financière, environnementale, énergétique, de transport, de santé et de circulation des personnes","nomination du bureau ;nomination des rapporteurs ;examen des dispositions restant en discussion du projet de loi."
"COMPER","2025-03-25","21:00","Commission des lois constitutionnelles, de la législation et de l'administration générale de la République","examen de la proposition de loi visant à valoriser la réserve communale de sécurité civile (n° 948) (M. Didier Lemaire, rapporteur)."
"MISINFO","2025-03-27","12:00","Mission d'information sur le rôle du transport ferroviaire dans le désenclavement des territoires","Fédération nationale des associations d'usagers des transports (FNAUT)M. François Delétraz, président"
"GA","2025-04-02","16:30","France-Monténégro",""
"COMPER","2025-03-26","15:00","Commission du développement durable et de l'aménagement du territoire","désignation des membres d’une mission d’information sur la transition des modèles des stations de montagne ;audition conjointe de Mme Florence Lustman, présidente de France Assureurs, accompagnée de M. Christophe Delcamp, directeur des assurances dommages et responsabilité et Mme Viviane Mitrache, directrice des affaires publiques, ainsi que de M. Benoit Hugonin, président de l’Association des professionnels de la réassurance en France (Apref), accompagné de M. Dominique Lauré, vice-président, M. Arthur Dutel, président de la commission catastrophes et M. Alexis Valleron, délégué général."
"COMPER","2025-03-25","18:30","Commission des affaires économiques","- nomination d’un rapporteur sur la proposition de loi visant à convertir des centrales à charbon vers des combustibles moins émetteurs en dioxyde de carbone pour permettre une transition écologique plus juste socialement (sous réserve de sa transmission) ;- examen de la proposition de loi portant fin du maintien à vie dans le logement social (n° 905) (M. Stéphane Vojetta, rapporteur) (1).En application de l’article 86 alinéa 5 du Règlement de l’Assemblée nationale, la date limite de dépôt des amendements a été fixée au vendredi 21 mars 2025, à 17 heures."
"MISINFO","2025-03-26","18:45","Mission d'information sur les congés parentaux","- audition conjointe :- mme Mathilde Guergoat-Larivière, professeure des universités en sciences économiques à l’université de Lille.- m. Mathieu Narcy, maître de conférences au Conservatoire national des arts et métiers (Cnam), membre du Haut conseil à l’égalité entre les femmes et les hommes (HCE)."
"COMPER","2025-03-26","09:30","Commission des affaires économiques","- examen de la proposition de loi visant à assurer le développement raisonné et juste de l’agrivoltaisme (n° 962) (M. Pascal Lecamp, rapporteur) ;En application de l’article 86 alinéa 5 du Règlement de l’Assemblée nationale, la date limite de dépôt des amendements a été fixée au samedi 22 mars 2025, à 17 heures ;- éventuellement, suite de l’examen de la proposition de loi portant fin du maintien à vie dans le logement social (n° 905) (M. Stéphane Vojetta, rapporteur)."
"COMPER","2025-03-25","16:30","Commission des affaires économiques","audition, organisée conjointement avec la commission du développement durable et de l’aménagement du territoire, de M. Benoit Vallet, directeur général de l’Agence nationale de sécurité sanitaire de l’alimentation, de l’environnement et du travail (Anses), sur la situation de l’agence et son action."
"COMPER","2025-03-26","09:30","Commission des affaires culturelles et de l'éducation","audition de M. Bruno Patino, président du comité de pilotage des états généraux de l’information, et Mme Anne Perrot, membre du comité de pilotage, sur les états généraux de l’information ;désignation de rapporteurs sur la mission flash sur les impacts des réformes successives sur le baccalauréat professionnel ; la mission flash sur l’évaluation de l’accompagnement des élèves à la découverte des métiers et à l’orientation ;	la mission d’évaluation de la loi n° 2022-296 du 2 mars 2022 visant à démocratiser le sport en France."
"CNPE","2025-03-26","16:15","Commission d’enquête sur les défaillances des pouvoirs publics face à la multiplication des plans de licenciements","– audition de Mmes Carine Camby, présidente de la 1ère chambre de la Cour des comptes, et Anne-Laure de Coincy, présidente de section à la 5ème chambre de la Cour des comptes."
"MISINFO","2025-03-27","09:00","Mission d'information sur le rôle du transport ferroviaire dans le désenclavement des territoires","Autorité de régulation des transports (ART)M. Thierry Guimbaud, président M. Jordan Cartier, secrétaire général Mme Sophie Auconie, vice-présidente Mme Gaëlle Nguyen, directrice "
"MISFLASH","2025-03-25","14:00","Mission flash sur les satellites : applications militaires et stratégies industrielles","audition de représentants de la Marine nationale."
